"mrun","rbd_cc","preferencia_postulante"
373978,"253_131000000131",1
373978,"220_131000000133",2
373978,"20478_131000000133",3
373978,"219_131000000133",4
373978,"12980_131000000133",5
375648,"283_231000000133",1
375648,"284_231000000133",2
376931,"12943_231000000123",1
376931,"280_231000000133",2
379012,"287_131000000133",1
379012,"341_131000000131",2
379012,"344_131000000131",3
379012,"283_131000000133",4
379012,"279_131000000133",5
379012,"335_131000000133",6
379012,"304_131000000133",7
379012,"12935_131000000133",8
379012,"280_131000000133",9
379406,"291_311000000133",1
379660,"12891_131000000133",1
379660,"344_131000000131",2
379660,"12868_131000000133",3
379660,"12970_131000000133",4
379660,"12977_131000000133",5
380113,"12872_411000000133",1
380113,"368_411000000133",2
380316,"31342_711000000133",1
380316,"294_711000000133",2
380316,"12935_711000000133",3
380876,"10967_231000000133",1
380876,"12980_231000000133",2
380876,"371_231000000133",3
393330,"12878_511000000131",1
393330,"293_511000000133",2
394544,"12871_311000000133",1
394544,"12810_311000000133",2
397739,"12891_511000000133",1
397739,"344_511000000131",2
397739,"12970_511000000133",3
397739,"12837_511000000133",4
397739,"12802_511000000111",5
398963,"220_131000000133",1
398963,"20478_131000000133",2
400066,"12943_711000000123",1
400066,"293_711000000133",2
402406,"10967_341041005133",1
402406,"220_351056027133",2
407571,"20478_811000000133",1
407571,"12836_811000000133",2
407571,"12871_811000000133",3
410204,"279_351054018133",1
410204,"12943_351052013123",2
410204,"280_341041005133",3
411952,"12871_711000000133",1
411952,"10963_711000000133",2
411952,"12836_711000000133",3
414451,"287_131000000133",1
414451,"10968_131000000133",2
414451,"279_131000000133",3
414451,"12943_131000000123",4
414451,"341_131000000131",5
416507,"12943_811000000123",1
416507,"12945_811000000133",2
417310,"342_231000000133",1
417310,"31342_231000000133",2
417310,"12977_231000000133",3
417310,"31340_231000000133",4
417310,"12885_231000000133",5
417460,"12891_131000000133",1
417460,"31343_131000000133",2
417460,"12837_131000000133",3
418156,"12885_131000000133",1
418156,"342_131000000133",2
418156,"12977_131000000133",3
418156,"12958_131000000133",4
424912,"313_711000000133",1
424912,"293_711000000133",2
424912,"319_711000000133",3
431074,"279_131000000133",1
431074,"12830_131000000133",2
431074,"287_131000000133",3
431074,"12855_131000000133",4
431074,"344_131000000131",5
432017,"279_231000000133",1
432017,"12837_231000000133",2
436836,"293_511000000133",1
438224,"12962_711000000133",1
438224,"289_711000000133",2
441024,"12891_131000000133",1
441024,"12970_131000000133",2
441024,"31340_131000000133",3
441024,"12868_131000000133",4
446769,"10970_131000000133",1
446769,"220_131000000133",2
446769,"10967_131000000133",3
446769,"219_131000000133",4
446769,"20478_131000000133",5
447784,"367_131000000133",1
458441,"218_131000000133",1
458441,"219_131000000133",2
458441,"10970_131000000133",3
458441,"220_131000000133",4
458441,"20478_131000000133",5
458441,"10967_131000000133",6
460179,"279_131000000133",1
460179,"12943_131000000123",2
460179,"280_131000000133",3
460179,"287_131000000133",4
460179,"286_131000000133",5
460808,"287_711000000133",1
460808,"12837_711000000133",2
460808,"12868_711000000133",3
460808,"293_711000000133",4
461712,"220_231000000133",1
461712,"217_231000000133",2
461712,"20478_231000000133",3
461712,"10970_231000000133",4
463290,"12963_131000000133",1
463290,"12855_131000000133",2
463290,"12977_131000000133",3
468807,"288_411000000133",1
468807,"337_411000000133",2
468807,"341_411000000132",3
468807,"12868_411000000133",4
471946,"12885_131000000133",1
471946,"367_131000000133",2
475420,"217_131000000133",1
475420,"10962_131000000133",2
475420,"256_131000000133",3
475420,"10970_131000000133",4
475420,"12853_131000000133",5
478259,"12943_131000000123",1
478259,"10968_131000000133",2
478259,"286_131000000133",3
478259,"283_131000000133",4
478259,"280_131000000133",5
478259,"31343_131000000133",6
480952,"279_351054019133",1
480952,"287_331000000133",2
481483,"10968_131000000133",1
481483,"279_131000000133",2
481483,"283_131000000133",3
481483,"31345_131000000133",4
481483,"286_131000000133",5
482973,"12838_811000000133",1
482973,"12853_811000000133",2
482973,"12836_811000000133",3
482973,"12823_811000000133",4
