"rbd_cc","vacantes"
"335_131000000133",9
"335_231000000133",16
"335_331000000133",6
"335_431000000133",5
"336_111000000132",90
"336_211000000132",14
"336_311000000131",17
"336_411000000131",13
"336_511000000131",56
"336_611000000131",20
"336_711000000131",26
"336_811000000131",14
"336_131000000131",7
"336_231000000131",22
"336_331000000131",16
"336_431000000131",18
"337_111000000133",80
"337_211000000133",9
"337_311000000133",9
"337_411000000133",9
"337_511000000133",6
"337_611000000133",5
"337_711000000133",6
"337_811000000133",4
"337_131000000133",13
"337_231000000133",2
"337_331000000133",3
"337_431000000133",0
"341_111000000132",42
"341_211000000132",3
"341_311000000132",2
"341_411000000132",1
"341_511000000132",1
"341_611000000132",45
"341_711000000131",10
"341_811000000131",8
"341_131000000131",13
"341_231000000131",5
"341_331000000131",6
"341_431000000131",6
"342_401000000132",70
"342_501000000131",0
"342_111000000133",51
"342_211000000133",6
"342_311000000133",4
"342_411000000133",1
"342_511000000133",39
"342_611000000133",1
"342_711000000133",1
"342_811000000133",3
"342_131000000133",0
"342_231000000133",7
"342_331000000133",4
"342_431000000133",5
"343_501000000131",40
"343_501000000132",40
"343_111000000132",44
"343_211000000132",23
"343_311000000132",34
"343_411000000132",19
"343_511000000131",24
"343_611000000131",20
"343_711000000131",17
"343_811000000131",26
"344_501000000131",35
"344_501000000132",35
"344_111000000131",19
"344_211000000131",7
"344_311000000131",8
"344_411000000131",4
"344_511000000131",7
"344_611000000131",5
"344_711000000131",13
"344_811000000131",11
"344_131000000131",11
"344_231000000131",8
"344_331000000131",8
"344_431000000131",5
"350_111000000132",48
"350_211000000131",9
"350_311000000131",6
"350_411000000131",5
"350_511000000131",5
"350_611000000131",4
"350_711000000131",9
"350_811000000131",8
"350_131000000131",17
"350_231000000131",4
"350_331000000131",6
"350_431000000131",2
"356_401000000132",70
"356_501000000131",14
"356_111000000133",7
"356_211000000133",2
"356_311000000133",4
"356_411000000133",2
"356_511000000133",4
"356_611000000133",3
"356_711000000133",3
"356_811000000133",3
"356_131000000133",9
"356_231000000133",2
"356_331000000133",0
"356_431000000133",0
"365_401000000132",50
"365_501000000131",14
"365_111000000133",26
"365_211000000133",8
"365_311000000133",12
"365_411000000133",8
"365_511000000133",4
"365_611000000133",5
"365_711000000133",15
"365_811000000133",5
"365_131000000133",9
"365_231000000133",13
"365_331000000133",8
"365_431000000133",1
"367_401000000132",58
"367_501000000131",17
"367_111000000133",35
"367_211000000133",13
"367_311000000133",7
"367_411000000133",4
"367_511000000133",2
"367_611000000133",2
"367_711000000133",0
"367_811000000133",16
"367_131000000133",131
"367_231000000133",13
"367_331000000133",4
"367_351052013133",5
"367_351053014133",19
"367_431000000133",33
"367_451052013133",10
"367_451053014133",2
"368_401000000132",112
"368_501000000131",16
"368_111000000133",22
"368_211000000133",19
"368_311000000133",23
"368_411000000133",5
"368_511000000133",46
"368_611000000133",30
"368_711000000133",16
"368_811000000133",50
"369_111000000133",4
"369_211000000133",0
"369_311000000133",3
"369_411000000133",1
"369_511000000133",1
"369_611000000133",0
"370_401000000131",20
"370_501000000131",9
"370_111000000133",3
"370_211000000133",1
"370_311000000133",1
"370_411000000133",3
"370_511000000133",7
"370_611000000133",1
"370_711000000133",0
"370_811000000133",6
"371_401000000132",16
"371_501000000131",8
"371_111000000133",2
"371_211000000133",4
"371_311000000133",3
"371_411000000133",7
"371_511000000133",1
"371_611000000133",6
"371_711000000133",2
"371_811000000133",3
"371_131000000133",7
"371_231000000133",7
"371_331000000133",11
"371_431000000133",6
"372_711000000133",30
"372_811000000133",6
"372_131000000133",5
"372_231000000133",0
"372_341041005133",5
"372_351052013133",16
"372_361064001131",7
"372_441041005133",7
"372_451052013133",5
"372_461064001131",6
"373_711000000133",114
"373_811000000133",2
"373_131000000133",2
"373_231000000133",0
"373_331000000133",5
"373_431000000133",0
"374_401000000133",50
"374_501000000133",15
"374_111000000133",14
"374_211000000133",6
"374_311000000133",11
"374_411000000133",7
"374_511000000133",20
"374_611000000133",12
"374_711000000133",23
"375_401000000133",70
"375_501000000133",23
"375_111000000133",20
"375_211000000133",20
"375_311000000133",18
"375_411000000133",1
"375_511000000133",10
"375_611000000133",5
"375_711000000133",4
"375_811000000133",3
"377_111000000133",8
