"rbd_cc","vacantes"
"45_431000000113",9
"50_111000000133",45
"50_211000000133",2
"50_311000000133",2
"50_411000000133",1
"50_511000000133",0
"50_611000000133",1
"50_711000000133",1
"50_811000000133",0
"50_131000000133",2
"50_231000000133",4
"50_331000000133",1
"50_431000000133",1
"52_401000000133",140
"52_501000000133",70
"52_111000000133",85
"52_211000000133",49
"52_311000000133",30
"52_411000000133",18
"52_511000000133",20
"52_611000000133",11
"52_711000000133",37
"52_811000000133",16
"52_131000000133",217
"52_231000000133",61
"52_331000000133",3
"52_341041005133",3
"52_351058034133",1
"52_381081004133",5
"52_431000000133",0
"52_441041005133",4
"52_451058034133",10
"52_481081004133",1
"56_501000000131",54
"56_111000000131",27
"56_211000000131",2
"56_311000000133",0
"56_411000000133",3
"56_511000000133",2
"56_611000000133",0
"56_711000000133",4
"56_811000000133",0
"56_131000000133",0
"56_231000000133",0
"56_331000000133",3
"56_431000000133",3
"60_401000000133",70
"60_501000000133",15
"60_111000000133",12
"60_211000000133",1
"60_311000000133",10
"60_411000000133",3
"60_511000000133",1
"60_611000000133",4
"60_711000000133",4
"60_811000000133",3
"60_131000000133",7
"60_231000000133",1
"60_331000000133",1
"60_431000000133",2
"67_501000000131",23
"67_501000000132",23
"67_111000000132",25
"67_211000000132",8
"67_311000000132",13
"67_411000000132",6
"67_511000000132",12
"67_611000000132",6
"67_711000000131",4
"67_811000000131",3
"67_131000000131",4
"67_231000000131",5
"67_331000000131",4
"67_431000000131",0
"70_111000000133",2
"70_211000000133",2
"70_311000000133",2
"70_411000000133",1
"70_511000000133",1
"70_611000000133",1
"72_111000000133",6
"72_211000000133",4
"72_311000000133",1
"72_411000000133",3
"72_511000000133",2
"72_611000000133",2
"72_711000000133",9
"72_811000000133",3
"72_131000000133",0
"72_231000000133",4
"72_371072007133",1
"72_471072007133",4
"73_111000000133",2
"73_211000000133",2
"73_311000000133",2
"73_411000000133",1
"73_511000000133",2
"73_611000000133",2
"74_111000000133",3
"74_211000000133",1
"74_311000000133",0
"74_411000000133",0
"74_511000000133",0
"74_611000000133",1
"75_111000000133",3
"75_211000000133",2
"75_311000000133",2
"75_411000000133",1
"75_511000000133",2
"75_611000000133",2
"76_111000000133",4
"76_211000000133",1
"76_311000000133",3
"76_411000000133",1
"76_511000000133",1
"76_611000000133",1
"78_401000000133",16
"78_501000000133",10
"78_111000000133",16
"78_211000000133",15
"78_311000000133",11
"78_411000000133",12
"78_511000000133",13
"78_611000000133",13
"78_711000000133",13
"78_811000000133",7
"78_131000000133",7
"78_231000000133",7
"78_371072007133",16
"78_471072007133",3
"79_111000000133",2
"79_211000000133",2
"79_311000000133",2
"79_411000000133",1
"79_511000000133",1
"79_611000000133",1
"81_111000000133",0
"81_211000000133",1
"81_311000000133",0
"81_411000000133",1
"81_511000000133",0
"81_611000000133",1
"82_111000000133",2
"82_211000000133",1
"82_311000000133",2
"82_411000000133",2
"82_511000000133",1
"82_611000000133",2
"83_111000000133",1
"83_211000000133",0
"83_311000000133",2
"83_411000000133",2
"83_511000000133",1
"83_611000000133",1
"84_111000000133",1
"84_211000000133",1
"84_311000000133",2
"84_411000000133",2
"84_511000000133",1
"84_611000000133",1
"86_111000000133",1
"86_211000000133",2
"86_311000000133",1
"86_411000000133",2
"86_511000000133",2
"86_611000000133",1
"87_111000000133",1
"87_211000000133",1
"87_311000000133",1
"87_411000000133",1
"87_511000000133",1
"87_611000000133",1
"88_111000000133",1
"88_211000000133",1
"88_311000000133",3
"88_411000000133",2
"88_511000000133",2
"88_611000000133",1
"89_111000000133",1
"89_211000000133",2
"89_311000000133",1
"89_411000000133",1
"89_511000000133",2
"89_611000000133",1
"90_111000000133",6
"90_211000000133",3
"90_311000000133",4
"90_411000000133",3
"90_511000000133",3
"90_611000000133",3
"90_711000000133",2
"90_811000000133",3
"91_111000000133",1
"91_211000000133",1
"91_311000000133",1
"91_411000000133",1
"91_511000000133",1
"91_611000000133",2
"92_111000000133",2
"92_211000000133",1
"92_311000000133",2
"92_411000000133",2
"92_511000000133",2
"92_611000000133",1
"93_111000000133",2
