"mrun","rbd_cc","preferencia_postulante"
21464324,"12570_611000000133",8
21465465,"5_131000000133",1
21465465,"56_131000000133",2
21465465,"10906_131000000133",3
21465465,"60_131000000133",4
21465465,"10915_131000000133",5
21465465,"50_131000000133",6
21465465,"67_131000000131",7
21481676,"12570_511000000133",1
21481676,"10915_511000000133",2
21481676,"20_511000000133",3
21495537,"12505_611000000131",1
21495537,"19_611000000133",2
21498919,"30003_511000000133",1
21498919,"9_511000000133",2
21501874,"12712_611000000133",1
21501874,"12713_611000000133",2
21501874,"40230_611000000133",3
21501874,"12547_611000000133",4
21526001,"4_131000000133",1
21526001,"12630_131000000133",2
21526001,"12712_131000000133",3
21540170,"12716_131000000133",1
21540170,"1_131000000131",2
21540170,"8_131000000133",3
21542841,"7_131000000133",1
21542841,"12547_131000000133",2
21542841,"4_131000000133",3
21542841,"5_131000000133",4
21547019,"10911_131000000133",1
21547019,"1_131000000131",2
21547019,"40230_131000000133",3
21547019,"7_131000000133",4
21558023,"4_131000000133",1
21558023,"7_131000000133",2
21558023,"1_131000000131",3
21568241,"56_411000000133",1
21568241,"12587_411000000133",2
21568241,"30001_411000000133",3
21568241,"12713_411000000133",4
21568241,"10915_411000000133",5
21576935,"10892_611000000233",1
21576935,"10915_611000000133",2
21576935,"12720_611000000133",3
21577607,"10915_711000000133",1
21577607,"12570_711000000133",2
21589435,"32_131000000133",1
21589435,"10915_131000000133",2
21596076,"30001_131000000133",1
21596076,"4_131000000133",2
21602335,"4_131000000133",1
21602335,"5_131000000133",2
21602335,"30001_131000000133",3
21603534,"10915_331000000133",1
21603534,"10892_331000000133",2
21604651,"10915_231000000133",1
21604651,"4_231000000133",2
21604651,"10906_231000000133",3
21604651,"30001_231000000133",4
21604651,"60_231000000133",5
21604651,"10892_231000000133",6
21604651,"12587_231000000133",7
21609189,"10892_711000000233",1
21609189,"52_711000000133",2
21609706,"1_351052010131",1
21609706,"10892_331000000133",2
21609706,"4_331000000133",3
21609706,"12716_361064001133",4
21620340,"10911_131000000133",1
21620340,"12712_131000000133",2
21630528,"12547_131000000133",1
21630528,"4_131000000133",2
21630528,"52_131000000133",3
21645413,"7_131000000133",1
21645413,"1_131000000131",2
21645413,"4_131000000133",3
21645413,"5_131000000133",4
21657755,"12716_231000000133",1
21657755,"4_231000000133",2
21663881,"4_131000000133",1
21663881,"60_131000000133",2
21663881,"10915_131000000133",3
21680313,"12716_361064008133",1
21680313,"1_361064001131",2
21680313,"10915_331000000133",3
21680313,"10911_351054018133",4
21681204,"30006_311000000133",1
21694325,"7_131000000133",1
21694325,"1_131000000131",2
21696872,"12587_231000000133",1
21696872,"7_231000000133",2
21701990,"12713_131000000133",1
21701990,"30001_131000000133",2
21701990,"4_131000000133",3
21701990,"12712_131000000133",4
21703472,"12712_131000000133",1
21703472,"12610_131000000133",2
21703472,"4_131000000133",3
21703472,"10892_131000000133",4
21703472,"10906_131000000133",5
21703472,"12547_131000000133",6
21707666,"10892_231000000133",1
21707666,"56_231000000133",2
21707666,"10915_231000000133",3
21707666,"52_231000000133",4
21709876,"5_331000000133",1
21709876,"4_331000000133",2
21709876,"52_341041005133",3
21717636,"12712_611000000133",1
21717636,"10893_611000000131",2
21717636,"22_611000000133",3
21720765,"10915_331000000133",1
21720765,"10906_331000000133",2
21726125,"4_131000000133",1
21726125,"5_131000000133",2
21726125,"10915_131000000133",3
21735466,"10892_311000000233",1
21735466,"12547_311000000133",2
21735466,"27_311000000133",3
21735466,"12716_311000000133",4
21740348,"56_231000000133",1
21740348,"1_231000000131",2
21750678,"30001_231000000133",1
21750678,"12713_231000000133",2
21750678,"60_231000000133",3
21750678,"10915_231000000133",4
21750678,"56_231000000133",5
21750678,"67_231000000131",6
21750678,"10892_231000000133",7
21750678,"50_231000000133",8
21750678,"12712_231000000133",9
21750678,"52_231000000133",10
21752244,"10906_231000000133",1
21752244,"67_231000000131",2
21752244,"30001_231000000133",3
21752244,"12587_231000000133",4
21753604,"52_131000000133",1
21760998,"22_711000000133",1
21760998,"40230_711000000133",2
21765179,"1_231000000131",1
21765179,"12547_231000000133",2
21765179,"12587_231000000133",3
21780685,"4_131000000133",1
21780685,"5_131000000133",2
21786877,"4_331000000133",1
21786877,"12547_331000000133",2
21805681,"10915_131000000133",1
21805681,"30003_131000000133",2
21805681,"12547_131000000133",3
21805681,"56_131000000133",4
21805681,"4_131000000133",5
21805681,"12587_131000000133",6
21805681,"5_131000000133",7
21807758,"10915_811000000133",1
21807758,"10906_811000000133",2
21807758,"12547_811000000133",3
21832224,"10911_131000000133",1
21832224,"12716_131000000133",2
21832224,"12610_131000000133",3
21833789,"52_811000000133",1
21833789,"12547_811000000133",2
21833789,"31_811000000133",3
21850467,"10892_131000000133",1
21852168,"30001_411000000133",1
21852168,"60_411000000133",2
21852168,"12659_411000000133",3
21852168,"9_411000000133",4
21852168,"30006_411000000133",5
21852168,"12694_411000000133",6
21852168,"26_411000000133",7
21856146,"10915_131000000133",1
21856146,"4_131000000133",2
21871181,"4_131000000133",1
21871181,"60_131000000133",2
21871181,"30003_131000000133",3
21871181,"10915_131000000133",4
21871665,"4_131000000133",1
21871665,"56_131000000133",2
21871665,"12587_131000000133",3
21871665,"30001_131000000133",4
21871665,"10892_131000000133",5
21883956,"26_411000000133",1
21883956,"8_411000000133",2
21883956,"31306_411000000131",3
21901660,"4_131000000133",1
21901660,"52_131000000133",2
21909205,"10892_511000000233",1
21909205,"30003_511000000133",2
21909205,"60_511000000133",3
21909205,"30001_511000000133",4
21909205,"9_511000000133",5
21909205,"26_511000000133",6
21912009,"11_611000000133",1
21912009,"10_611000000113",2
21912773,"56_131000000133",1
21912773,"60_131000000133",2
21912773,"30001_131000000133",3
21912773,"4_131000000133",4
21912773,"12587_131000000133",5
21925768,"4_231000000133",1
21925768,"10892_231000000133",2
21925768,"52_231000000133",3
21925768,"5_231000000133",4
21925881,"56_711000000133",1
21925881,"12547_711000000133",2
21925881,"52_711000000133",3
21933888,"1_131000000131",1
21933888,"7_131000000133",2
21934831,"30001_131000000133",1
21934831,"12587_131000000133",2
21934831,"52_131000000133",3
21952000,"60_231000000133",1
21952000,"10915_231000000133",2
21957926,"67_411000000132",1
21957926,"12547_411000000133",2
21959644,"12610_131000000133",1
21959644,"4_131000000133",2
21959644,"56_131000000133",3
21959644,"52_131000000133",4
21961180,"60_331000000133",1
21961180,"25_331000000133",2
21962772,"12712_511000000133",1
21962772,"22_511000000133",2
21964291,"12713_711000000133",1
21964291,"60_711000000133",2
21964291,"12712_711000000133",3
21965780,"4_131000000133",1
21965780,"10911_131000000133",2
21965780,"12630_131000000133",3
21970951,"4_131000000133",1
21970951,"12716_131000000133",2
21970951,"7_131000000133",3
21970951,"60_131000000133",4
21970951,"10911_131000000133",5
21974242,"1_351052010131",1
21974242,"8_331000000133",2
21980243,"10893_411000000132",1
21980243,"22_411000000133",2
21983293,"30001_131000000133",1
21989211,"10906_411000000133",1
21989211,"12547_411000000133",2
21989211,"10915_411000000133",3
21989211,"12716_411000000133",4
21999398,"10915_711000000133",1
21999398,"60_711000000133",2
21999398,"50_711000000133",3
21999398,"40230_711000000133",4
22011245,"52_131000000133",1
22011245,"12587_131000000133",2
22011245,"30001_131000000133",3
22011245,"4_131000000133",4
22011245,"10911_131000000133",5
22011245,"25_131000000133",6
22011245,"5_131000000133",7
22011245,"7_131000000133",8
22011899,"4_131000000133",1
22011899,"10892_131000000133",2
22011899,"12587_131000000133",3
22014140,"10915_331000000133",1
22014140,"30001_331000000133",2
22027717,"60_231000000133",1
22027717,"10915_231000000133",2
22027717,"30001_231000000133",3
22034891,"7_131000000133",1
22034891,"12610_131000000133",2
22034891,"5_131000000133",3
22034891,"10911_131000000133",4
22034891,"4_131000000133",5
22034891,"32_131000000133",6
22050961,"7_131000000133",1
22050961,"1_131000000131",2
22050961,"12547_131000000133",3
22050961,"10915_131000000133",4
22050961,"12716_131000000133",5
22050961,"32_131000000133",6
22052239,"30001_131000000133",1
22052239,"10906_131000000133",2
22052239,"5_131000000133",3
22052239,"4_131000000133",4
22052239,"56_131000000133",5
22052239,"25_131000000133",6
22065540,"10915_331000000133",1
22065540,"12587_331000000133",2
22080140,"30002_611000000131",1
22080140,"12630_611000000133",2
22080140,"12712_611000000133",3
22098192,"4_131000000133",1
22098192,"30001_131000000133",2
22098192,"12587_131000000133",3
22104258,"30001_811000000133",1
22104258,"30003_811000000133",2
22104258,"8_811000000133",3
22104258,"10892_811000000233",4
22104258,"12587_811000000133",5
22104258,"30012_811000000133",6
22120910,"1_131000000131",1
22120910,"25_131000000133",2
22121323,"7_131000000133",1
22121323,"12716_131000000133",2
22121323,"10915_131000000133",3
22121323,"12547_131000000133",4
22121323,"60_131000000133",5
22121323,"52_131000000133",6
22130164,"12713_131000000133",1
22130164,"4_131000000133",2
22130164,"5_131000000133",3
22130164,"10915_131000000133",4
22130164,"12547_131000000133",5
22130164,"52_131000000133",6
22130164,"30003_131000000133",7
22133067,"10911_351053015133",1
22133067,"32_371072007133",2
22161228,"12547_331000000133",1
22161228,"12547_341041005133",2
22161228,"52_331000000133",3
22167586,"10892_131000000133",1
22167586,"30003_131000000133",2
22167586,"10906_131000000133",3
22173139,"9_711000000133",1
22176668,"12547_341041005133",1
22176668,"12610_341041005133",2
22177177,"12713_131000000133",1
22177177,"7_131000000133",2
22177177,"12712_131000000133",3
22177177,"25_131000000133",4
22177177,"12587_131000000133",5
22179708,"4_131000000133",1
22179708,"10892_131000000133",2
22179708,"12716_131000000133",3
22179708,"5_131000000133",4
22179708,"10911_131000000133",5
22179708,"52_131000000133",6
22179708,"7_131000000133",7
