"rbd_cc","vacantes"
"24318_811000000133",11
"24322_111000000133",3
"24322_211000000133",0
"24322_311000000133",0
"24322_411000000133",1
"24322_511000000133",1
"24322_611000000133",2
"24322_711000000133",2
"24322_811000000133",1
"24325_111000000133",2
"24325_211000000133",2
"24325_311000000133",2
"24325_411000000133",2
"24325_511000000133",2
"24325_611000000133",0
"24325_711000000133",1
"24325_811000000133",0
"24327_401000000132",40
"24327_501000000131",10
"24327_111000000133",5
"24327_211000000133",2
"24327_311000000133",2
"24327_411000000133",1
"24327_511000000133",2
"24327_611000000133",1
"24327_711000000133",0
"24327_811000000133",0
"24327_131000000133",42
"24327_231000000133",3
"24327_331000000133",4
"24327_431000000133",1
"24329_401000000121",60
"24329_501000000121",35
"24329_111000000123",29
"24329_211000000123",39
"24329_311000000123",22
"24329_411000000123",12
"24329_511000000123",15
"24329_611000000123",3
"24329_711000000123",15
"24329_811000000123",20
"24329_131000000123",64
"24329_231000000123",20
"24329_331000000123",43
"24329_431000000123",20
"24338_401000000131",15
"24338_401000000132",15
"24338_501000000131",0
"24338_501000000132",3
"24338_111000000133",4
"24338_211000000133",2
"24338_311000000133",5
"24338_411000000133",1
"24338_511000000133",4
"24338_611000000133",6
"24338_711000000133",3
"24338_811000000133",5
"24338_131000000133",5
"24338_231000000133",2
"24338_331000000133",0
"24338_431000000133",0
"24341_111000000133",3
"24341_211000000133",4
"24341_311000000133",3
"24341_411000000133",3
"24341_511000000133",2
"24341_611000000133",0
"24341_711000000133",0
"24341_811000000133",0
