"mrun","rbd_cc","preferencia_postulante"
1251879,"24311_811000000133",4
1252823,"24307_331000000133",1
1252823,"24327_331000000133",2
1252823,"11680_331000000133",3
1252823,"8458_331000000133",4
1277281,"8411_131000000133",1
1277281,"8421_131000000133",2
1293124,"8411_131000000133",1
1293124,"24300_131000000133",2
1293977,"11680_711000000133",1
1293977,"24305_711000000133",2
1293977,"24307_711000000133",3
1293977,"8455_711000000113",4
1293977,"24327_711000000133",5
1297194,"24316_131000000133",1
1297194,"8429_131000000133",2
1297194,"8425_131000000133",3
1309606,"24327_811000000133",1
1309606,"24305_811000000133",2
1309606,"8458_811000000133",3
1321141,"24327_231000000133",1
1321141,"24338_231000000133",2
1321141,"11678_231000000133",3
1321141,"8458_231000000133",4
1321141,"8455_231000000113",5
1323273,"11678_711000000133",1
1323273,"24327_711000000133",2
1323273,"8442_711000000133",3
1324547,"24329_611000000123",1
1324547,"24305_611000000133",2
1324547,"24307_611000000233",3
1324547,"24313_611000000133",4
1332045,"8425_131000000133",1
1332045,"8427_131000000133",2
1332045,"8424_131000000133",3
1332045,"24316_131000000133",4
1332045,"8430_131000000133",5
1332045,"8458_131000000133",6
1332045,"24327_131000000133",7
1348540,"8429_431000000133",1
1348695,"11680_811000000133",1
1348695,"24307_811000000133",2
1355939,"24317_131000000133",1
1355939,"8421_131000000133",2
1356234,"24305_811000000133",1
1356234,"24311_811000000133",2
1359009,"8429_331000000133",1
1359009,"8430_361064008133",2
1360920,"11680_611000000133",1
1360920,"24307_611000000233",2
1365932,"24305_811000000133",1
1365932,"8438_811000000133",2
1366898,"8421_231000000133",1
1366898,"24300_231000000133",2
1375941,"24307_131000000133",1
1375941,"24327_131000000133",2
1375941,"8425_131000000133",3
1391807,"24327_231000000133",1
1391807,"11680_231000000133",2
1391807,"24307_231000000133",3
1391807,"24316_231000000133",4
1404194,"8454_511000000123",1
1405197,"24305_711000000133",1
1405197,"24327_711000000133",2
1405197,"24307_711000000133",3
1405197,"24311_711000000133",4
1437479,"24338_131000000133",1
1437479,"11680_131000000133",2
1437479,"24305_131000000133",3
1437479,"24327_131000000133",4
1437479,"8455_131000000113",5
1441930,"24305_811000000133",1
1441930,"11678_811000000133",2
1441930,"24329_811000000123",3
1441930,"11680_811000000133",4
1441930,"8438_811000000133",5
1456534,"8427_131000000133",1
1456534,"8458_131000000133",2
1486116,"8458_611000000133",1
1486116,"24307_611000000233",2
1486116,"8448_611000000133",3
1489193,"8421_131000000133",1
1489193,"24317_131000000133",2
