"rbd_cc","seats_total","seats_regular","seats_priority","seats_high_performance","seats_female"
"8455_331000000113",4,1,1,1,1
"8455_431000000113",1,1,0,0,0
"8457_401000000111",35,10,10,5,10
"8457_501000000111",18,5,5,3,5
"8457_111000000111",0,0,0,0,0
"8457_211000000111",3,1,1,0,1
"8457_311000000113",5,0,2,1,2
"8457_411000000113",4,1,1,1,1
"8457_511000000113",3,1,1,0,1
"8457_611000000113",12,2,4,2,4
"8457_711000000113",29,7,9,4,9
"8457_811000000113",26,6,8,4,8
"8457_131000000113",24,6,7,4,7
"8457_231000000113",20,5,6,3,6
"8457_341041005113",1,1,0,0,0
"8457_361064001113",5,0,2,1,2
"8457_441041005113",0,0,0,0,0
"8457_461064001113",0,0,0,0,0
"8458_401000000132",70,18,21,10,21
"8458_501000000131",13,3,4,2,4
"8458_111000000133",14,4,4,2,4
"8458_211000000133",6,1,2,1,2
"8458_311000000133",2,0,1,0,1
"8458_411000000133",1,1,0,0,0
"8458_511000000133",5,0,2,1,2
"8458_611000000133",4,1,1,1,1
"8458_711000000133",3,1,1,0,1
"8458_811000000133",14,4,4,2,4
"8458_131000000133",24,6,7,4,7
"8458_231000000133",15,5,4,2,4
"8458_331000000133",30,8,9,4,9
"8458_431000000133",18,5,5,3,5
"8467_401000000133",2,0,1,0,1
"8467_501000000133",1,1,0,0,0
"8467_111000000133",0,0,0,0,0
"8467_211000000133",2,0,1,0,1
"8467_311000000133",1,1,0,0,0
"8467_411000000133",2,0,1,0,1
"8467_511000000133",2,0,1,0,1
"8467_611000000133",1,1,0,0,0
"8467_711000000133",0,0,0,0,0
"8467_811000000133",2,0,1,0,1
"8468_111000000133",6,1,2,1,2
"8468_211000000133",5,0,2,1,2
"8468_311000000133",5,0,2,1,2
"8468_411000000133",3,1,1,0,1
"8468_511000000133",5,0,2,1,2
"8468_611000000133",5,0,2,1,2
"8468_711000000133",3,1,1,0,1
"8468_811000000133",4,1,1,1,1
"8470_401000000133",5,0,2,1,2
"8470_501000000133",4,1,1,1,1
"8470_111000000133",4,1,1,1,1
"8470_211000000133",2,0,1,0,1
"8470_311000000133",4,1,1,1,1
"8470_411000000133",4,1,1,1,1
"8470_511000000133",3,1,1,0,1
"8470_611000000133",4,1,1,1,1
"8470_711000000133",2,0,1,0,1
"8470_811000000133",5,0,2,1,2
"8474_131000000133",120,30,36,18,36
"8474_231000000133",20,5,6,3,6
"8474_331000000133",5,0,2,1,2
"8474_361063009133",11,3,3,2,3
"8474_431000000133",23,6,7,3,7
"8474_461063009133",15,5,4,2,4
"8475_401000000131",35,10,10,5,10
"8475_401000000132",35,10,10,5,10
"8475_501000000131",5,0,2,1,2
"8475_501000000132",35,10,10,5,10
"8475_111000000133",22,5,7,3,7
"8475_211000000133",27,7,8,4,8
"8475_311000000133",14,4,4,2,4
"8475_411000000133",1,1,0,0,0
"8475_511000000133",16,4,5,2,5
"8475_611000000133",8,3,2,1,2
"8475_711000000133",10,2,3,2,3
"8475_811000000133",5,0,2,1,2
"8479_401000000133",15,5,4,2,4
"8479_501000000133",9,2,3,1,3
"8479_111000000133",9,2,3,1,3
"8479_211000000133",10,2,3,2,3
"8479_311000000133",10,2,3,2,3
"8479_411000000133",5,0,2,1,2
"8479_511000000133",8,3,2,1,2
"8479_611000000133",6,1,2,1,2
"8479_711000000133",7,2,2,1,2
"8479_811000000133",12,2,4,2,4
"8482_401000000133",14,4,4,2,4
"8482_501000000133",11,3,3,2,3
"8482_111000000133",2,0,1,0,1
"8482_211000000133",3,1,1,0,1
"8482_311000000133",3,1,1,0,1
"8482_411000000133",2,0,1,0,1
"8482_511000000133",7,2,2,1,2
"8482_611000000133",3,1,1,0,1
"8482_711000000133",0,0,0,0,0
"8482_811000000133",4,1,1,1,1
"8483_401000000131",44,11,13,7,13
"8483_501000000131",24,6,7,4,7
"8483_111000000133",14,4,4,2,4
"8483_211000000133",12,2,4,2,4
"8483_311000000133",18,5,5,3,5
"8483_411000000133",15,5,4,2,4
"8483_511000000133",17,4,5,3,5
"8483_611000000133",6,1,2,1,2
"8483_711000000133",14,4,4,2,4
"8483_811000000133",13,3,4,2,4
"8483_131000000133",20,5,6,3,6
"8483_231000000133",11,3,3,2,3
"8483_331000000133",28,8,8,4,8
"8483_431000000133",13,3,4,2,4
"8484_111000000133",5,0,2,1,2
"8484_211000000133",5,0,2,1,2
"8484_311000000133",4,1,1,1,1
"8484_411000000133",4,1,1,1,1
"8484_511000000133",3,1,1,0,1
"8484_611000000133",5,0,2,1,2
"8484_711000000133",4,1,1,1,1
"8484_811000000133",5,0,2,1,2
"11678_401000000232",35,10,10,5,10
"11678_501000000231",16,4,5,2,5
"11678_111000000131",16,4,5,2,5
"11678_211000000131",4,1,1,1,1
"11678_311000000133",2,0,1,0,1
"11678_411000000133",13,3,4,2,4
"11678_511000000133",1,1,0,0,0
"11678_611000000133",2,0,1,0,1
"11678_711000000133",4,1,1,1,1
"11678_811000000133",1,1,0,0,0
"11678_131000000133",5,0,2,1,2
"11678_231000000133",4,1,1,1,1
"11678_331000000133",2,0,1,0,1
"11678_431000000133",2,0,1,0,1
"11680_401000000133",26,6,8,4,8
"11680_501000000133",0,0,0,0,0
"11680_111000000133",2,0,1,0,1
"11680_211000000133",1,1,0,0,0
"11680_311000000133",0,0,0,0,0
"11680_411000000133",0,0,0,0,0
"11680_511000000133",0,0,0,0,0
"11680_611000000133",0,0,0,0,0
"11680_711000000133",0,0,0,0,0
"11680_811000000133",1,1,0,0,0
"11680_131000000133",0,0,0,0,0
"11680_231000000133",0,0,0,0,0
"11680_331000000133",2,0,1,0,1
"11680_431000000133",0,0,0,0,0
"11687_401000000133",24,6,7,4,7
"11687_501000000133",9,2,3,1,3
"11687_111000000133",17,4,5,3,5
"11687_211000000133",18,5,5,3,5
"11687_311000000133",12,2,4,2,4
"11687_411000000133",15,5,4,2,4
"11687_511000000133",14,4,4,2,4
"11687_611000000133",12,2,4,2,4
"11687_711000000133",14,4,4,2,4
"11687_811000000133",6,1,2,1,2
"16895_401000000131",35,10,10,5,10
"16895_501000000131",15,5,4,2,4
"16895_111000000133",8,3,2,1,2
"16895_211000000133",4,1,1,1,1
"16895_311000000133",0,0,0,0,0
"16895_411000000133",2,0,1,0,1
"16895_511000000133",7,2,2,1,2
"16895_611000000133",9,2,3,1,3
"16895_711000000133",0,0,0,0,0
"16895_811000000133",5,0,2,1,2
"24300_131000000133",99,24,30,15,30
"24300_231000000133",14,4,4,2,4
"24300_331000000133",31,8,9,5,9
"24300_431000000133",8,3,2,1,2
"24302_401000000131",25,5,8,4,8
"24302_401000000132",25,5,8,4,8
"24302_501000000131",13,3,4,2,4
"24302_501000000132",11,3,3,2,3
"24302_111000000131",30,8,9,4,9
"24302_211000000131",21,6,6,3,6
"24302_311000000133",12,2,4,2,4
"24302_411000000133",19,4,6,3,6
"24302_511000000133",12,2,4,2,4
"24302_611000000133",16,4,5,2,5
"24302_711000000133",20,5,6,3,6
"24302_811000000133",19,4,6,3,6
"24305_401000000133",34,9,10,5,10
"24305_501000000133",0,0,0,0,0
"24305_111000000133",11,3,3,2,3
"24305_211000000133",5,0,2,1,2
"24305_311000000133",0,0,0,0,0
"24305_411000000133",0,0,0,0,0
"24305_511000000133",0,0,0,0,0
"24305_611000000133",0,0,0,0,0
"24305_711000000133",1,1,0,0,0
"24305_811000000133",3,1,1,0,1
