"mrun","female","priority","high_performance"
7413952,1,0,0
7427919,0,1,0
7428258,1,0,1
7438683,1,1,0
7452326,1,1,0
7458657,0,0,0
7473859,1,0,0
7481005,0,1,0
7486300,1,0,0
7494449,0,1,0
7502450,1,0,0
7512056,0,0,1
7522919,0,0,0
7528202,0,1,0
7531370,1,1,0
7536187,1,0,0
7557923,0,1,1
7564487,1,1,0
7571313,1,1,1
7579931,1,1,0
7581968,0,0,0
7605506,1,0,1
7606962,0,1,0
7609147,0,0,0
7641301,0,0,0
7641553,1,1,0
7642905,1,1,0
7649965,1,1,0
7672494,1,0,0
7686065,1,0,0
7687394,1,1,1
7687438,0,1,0
7697595,1,0,0
7701322,1,0,1
7715714,0,1,0
7718030,1,1,0
7724623,0,0,0
7738829,1,0,1
7742533,1,1,1
7771568,1,0,0
7791220,0,1,0
7812388,1,1,1
7818728,1,1,0
7823557,0,1,0
7827010,1,1,0
7827141,0,0,0
7834139,1,0,0
7839625,0,0,0
7840085,1,1,0
7847322,1,0,1
7856392,0,0,0
7859738,0,1,0
7866051,0,1,0
7884603,0,0,1
7886796,1,1,0
7893862,1,1,0
7897918,0,1,0
7899332,0,1,0
7925502,0,1,0
7934652,1,1,0
7945003,1,1,1
7956363,1,0,1
7956930,1,1,0
7959122,1,0,0
7991650,1,0,0
7996744,1,1,0
7997820,1,0,1
8003645,0,0,1
8006686,1,0,0
8035860,1,1,0
8040035,0,1,0
8042057,1,1,1
8048934,1,0,0
8049327,0,0,0
8074111,1,1,0
8079888,0,1,0
8084588,1,1,0
8098429,0,0,0
8101316,0,1,0
8106902,0,0,0
8107566,1,1,0
8119215,0,0,0
8125217,1,0,1
8138879,0,0,1
8142927,0,1,1
8143007,1,1,0
8145365,0,1,0
8148718,1,1,0
8149233,0,1,0
8166494,0,0,0
8195012,1,1,0
8200227,1,0,0
8200391,0,0,0
8214860,0,0,0
8219760,1,0,1
8220763,1,0,0
8224618,1,1,0
8229173,0,1,0
8232004,1,1,0
8232978,0,1,0
8233850,0,0,0
8241380,0,1,0
8293137,0,0,0
8306023,0,0,0
8313893,1,1,0
8319218,0,1,0
8336753,1,1,1
8338976,1,1,0
8343645,0,1,0
8365103,1,0,0
8380967,1,0,0
8381823,1,0,0
8391724,1,0,0
8403216,1,1,1
8408639,1,1,0
8410820,0,1,0
8412037,0,1,0
8413292,1,0,1
8414777,0,1,0
8415218,0,0,0
8418783,0,1,1
8433649,1,1,1
8435557,1,1,1
8438285,0,0,0
8447316,1,1,1
8455797,0,0,0
8487453,1,0,0
8488409,1,0,0
8510946,1,0,0
8524089,0,1,0
8524196,1,0,0
8526432,1,1,0
8526815,1,0,1
8546102,0,0,0
8574022,0,1,0
8592097,0,1,0
8593070,0,0,1
8595585,1,0,0
8597539,1,1,0
8603043,1,1,0
8603873,1,1,0
8604159,0,0,0
8615640,0,0,0
8617892,0,0,0
8622265,1,0,0
8623107,1,1,0
8630358,1,0,0
8635072,1,0,1
8643166,0,1,0
8646376,0,0,0
8660693,0,1,1
8667753,0,0,1
8668632,0,0,0
8689597,1,0,1
8691914,0,0,1
8707213,1,0,1
8708289,0,0,1
8725949,0,1,0
8738225,1,1,0
8746428,1,0,0
8782191,0,0,0
8811477,0,0,0
8824156,1,1,0
8838966,1,1,0
8839576,1,0,1
8845565,0,1,0
8856154,0,0,0
8862513,1,1,0
8898869,1,0,1
8909458,1,0,0
8912174,1,0,0
8923833,1,0,1
8928583,1,0,1
8932659,0,1,0
8967818,1,1,0
8968539,0,1,0
8973577,1,1,0
8991337,0,1,0
9030772,1,0,0
9035094,0,0,0
9035941,0,1,0
9041277,1,0,0
9042966,1,1,0
9053017,1,1,0
9054961,0,1,0
9086116,0,1,0
9088552,0,0,0
9090210,1,1,1
9126702,0,0,0
9142133,1,0,1
9150954,0,0,0
9164497,1,0,1
9166999,1,1,0
9171183,1,0,0
9171791,0,1,0
9180835,1,1,0
9183527,1,1,0
9202423,0,1,0
9213012,0,1,0
9218281,0,1,1
9219693,0,0,1
9242369,1,0,0
9251956,0,0,0
9260785,1,0,0
9268537,0,1,0
9283885,1,0,0
9302522,1,1,0
9304598,0,0,0
9306226,1,1,0
9319493,1,1,0
9323678,1,0,0
9355925,0,1,0
9374631,1,1,1
9374667,1,1,0
9391585,1,0,0
9404877,0,1,0
9412931,0,0,1
9416860,1,1,0
9433084,0,1,0
9446643,0,1,0
9469290,1,0,1
9484817,0,1,1
9510846,0,1,0
9524440,1,1,0
9536838,1,1,0
9537295,0,1,0
9546610,0,0,0
9551904,1,1,0
9554845,1,0,1
9590892,1,0,0
9601280,1,1,0
