"mrun","rbd_cc","preferencia_postulante"
251820,"583_411000000133",4
252652,"12779_331000000133",1
252652,"13535_331000000133",2
252652,"13330_331000000131",3
252652,"40194_331000000133",4
255606,"13313_411000000233",1
255606,"13324_411000000133",2
255606,"13626_411000000133",3
259470,"13604_131000000133",1
259470,"40064_131000000133",2
259470,"13558_131000000133",3
259470,"646_131000000133",4
259470,"13361_131000000133",5
259470,"649_131000000133",6
259470,"11133_131000000131",7
259470,"648_131000000133",8
259792,"629_511000000133",1
259792,"631_511000000133",2
259792,"13504_511000000133",3
261115,"13344_411000000133",1
261115,"13420_411000000133",2
261115,"13586_411000000133",3
261115,"31221_411000000133",4
261174,"13565_611000000133",1
261174,"13384_611000000133",2
261174,"13417_611000000133",3
261174,"13376_611000000133",4
261174,"13356_611000000131",5
261174,"40194_611000000133",6
261174,"13426_611000000131",7
261174,"567_611000000133",8
261174,"11114_611000000133",9
261174,"579_611000000133",10
261174,"40298_611000000133",11
261174,"527_611000000133",12
262672,"704_811000000133",1
262672,"767_811000000133",2
262672,"769_811000000133",3
262672,"763_811000000133",4
262672,"766_811000000133",5
262672,"13513_811000000133",6
262672,"13573_811000000133",7
262672,"707_811000000113",8
267532,"13489_131000000123",1
267532,"11139_131000000133",2
267532,"11145_131000000133",3
267532,"11105_131000000133",4
267532,"11144_131000000133",5
267532,"13503_131000000133",6
268597,"575_341041005113",1
272401,"11106_411000000133",1
272401,"767_411000000133",2
272401,"763_411000000133",3
272401,"769_411000000133",4
272401,"13573_411000000133",5
272401,"706_411000000133",6
275209,"579_311000000133",1
275209,"568_311000000133",2
275222,"575_711000000113",1
275222,"40194_711000000133",2
276167,"704_711000000133",1
276167,"766_711000000133",2
276167,"768_711000000113",3
276167,"708_711000000133",4
277583,"1013_131000000133",1
277583,"968_131000000133",2
277583,"13383_131000000133",3
280452,"13372_511000000133",1
280452,"13305_511000000133",2
280452,"13356_511000000131",3
280452,"763_511000000133",4
281717,"11106_611000000133",1
281717,"769_611000000133",2
281717,"13513_611000000133",3
281717,"763_611000000133",4
281717,"766_611000000133",5
281717,"13573_611000000133",6
281717,"848_611000000133",7
282088,"570_131000000133",1
282088,"568_131000000133",2
282088,"565_131000000133",3
282088,"13535_131000000133",4
282088,"11157_131000000133",5
282088,"13388_131000000233",6
282088,"13360_131000000133",7
282088,"13305_131000000133",8
282088,"12779_131000000133",9
282088,"573_131000000133",10
282920,"583_711000000133",1
282920,"13388_711000000233",2
282920,"13372_711000000133",3
282920,"573_711000000133",4
282920,"13344_711000000133",5
282920,"13446_711000000123",6
282920,"12779_711000000133",7
282920,"13356_711000000133",8
282920,"13535_711000000133",9
282920,"13565_711000000133",10
284138,"690_131000000133",1
284138,"665_131000000133",2
285244,"573_131000000133",1
285244,"13373_131000000133",2
285244,"13384_131000000133",3
285244,"13586_131000000133",4
285293,"13504_711000000133",1
288187,"40231_411000000133",1
288187,"13305_411000000133",2
288187,"12779_411000000133",3
288187,"40298_411000000133",4
288800,"567_331000000133",1
288800,"13586_331000000133",2
288800,"517_331000000133",3
288800,"526_331000000133",4
288800,"530_331000000133",5
288800,"521_331000000133",6
289817,"567_511000000133",1
289817,"13565_511000000133",2
291523,"579_511000000133",1
291523,"13388_511000000233",2
