"rbd_cc","vacantes"
"626_611000000133",2
"626_711000000133",10
"626_811000000133",24
"628_401000000133",22
"628_501000000133",10
"628_111000000133",13
"628_211000000133",14
"628_311000000133",7
"628_411000000133",7
"628_511000000133",7
"628_611000000133",10
"628_711000000133",9
"628_811000000133",10
"629_401000000133",30
"629_501000000133",0
"629_111000000133",12
"629_211000000133",7
"629_311000000133",10
"629_411000000133",10
"629_511000000133",2
"629_611000000133",3
"629_711000000133",33
"629_811000000133",5
"629_131000000133",24
"629_231000000133",12
"629_351054018133",5
"629_451054018133",0
"630_401000000133",20
"630_501000000133",14
"630_111000000133",20
"630_211000000133",5
"630_311000000133",7
"630_411000000133",2
"630_511000000133",6
"630_611000000133",7
"630_711000000133",11
"630_811000000133",5
"631_401000000133",35
"631_501000000133",9
"631_111000000133",8
"631_211000000133",8
"631_311000000133",0
"631_411000000133",3
"631_511000000133",2
"631_611000000133",1
"631_711000000133",4
"631_811000000133",0
"632_401000000133",30
"632_501000000133",3
"632_111000000133",8
"632_211000000133",0
"632_311000000133",0
"632_411000000133",2
"632_511000000133",3
"632_611000000133",0
"632_711000000133",11
"632_811000000133",17
"634_111000000133",13
"634_211000000133",7
"634_311000000133",3
"634_411000000133",8
"634_511000000133",9
"634_611000000133",12
"635_111000000133",4
"635_211000000133",2
"635_311000000133",0
"635_411000000133",1
"635_511000000133",0
"635_611000000133",2
"637_401000000133",32
"637_501000000133",19
"637_111000000133",17
"637_211000000133",7
"637_311000000133",6
"637_411000000133",6
"637_511000000133",0
"637_611000000133",2
"637_711000000133",7
"637_811000000133",7
"638_111000000133",2
"638_211000000133",2
"638_311000000133",2
"638_411000000133",1
"638_511000000133",2
"638_611000000133",2
"639_401000000133",18
"639_501000000133",14
"639_111000000133",5
"639_211000000133",6
"639_311000000133",1
"639_411000000133",3
"639_511000000133",3
"639_611000000133",0
"639_711000000133",10
"639_811000000133",0
"641_111000000133",10
"641_211000000133",6
"641_311000000133",4
"641_411000000133",7
"641_511000000133",2
"641_611000000133",3
"642_111000000133",23
"642_211000000133",3
"642_311000000133",0
"642_411000000133",7
"642_511000000133",5
"642_611000000133",10
"643_401000000133",25
"643_501000000133",2
"643_111000000133",13
"643_211000000133",7
"643_311000000133",2
"643_411000000133",3
"643_511000000133",0
"643_611000000133",11
"643_711000000133",9
"643_811000000133",11
"644_111000000133",3
"644_211000000133",2
"644_311000000133",2
"644_411000000133",1
"644_511000000133",1
"644_611000000133",3
"644_711000000133",2
"644_811000000133",1
"645_111000000133",6
"645_211000000133",3
"645_311000000133",3
"645_411000000133",3
"645_511000000133",0
"645_611000000133",1
"646_401000000131",35
"646_401000000132",35
"646_501000000131",15
"646_501000000132",28
"646_111000000131",62
"646_111000000132",82
"646_211000000131",15
"646_211000000132",37
"646_311000000133",28
"646_411000000133",15
"646_511000000133",18
"646_611000000133",29
"646_711000000133",56
"646_811000000133",35
"646_131000000133",62
"646_231000000133",13
"646_331000000133",1
"646_341041005133",3
"646_351058033133",3
"646_431000000133",13
"646_441041005133",5
"647_111000000132",43
"647_211000000132",8
"647_311000000131",12
"647_411000000133",11
"647_511000000133",10
"647_611000000133",5
"647_711000000133",12
"647_811000000133",2
"647_131000000133",12
"647_231000000133",5
"647_331000000133",6
"647_431000000133",5
"648_401000000132",70
"648_501000000131",10
"648_111000000133",5
"648_211000000133",5
"648_311000000133",4
"648_411000000133",4
"648_511000000133",5
"648_611000000133",5
"648_711000000133",7
"648_811000000133",4
"648_131000000133",4
"648_231000000133",0
"648_331000000133",4
"648_431000000133",3
"649_401000000131",30
"649_401000000132",30
"649_501000000131",15
"649_501000000132",19
"649_111000000132",44
"649_211000000131",13
"649_311000000133",13
"649_411000000133",7
"649_511000000133",10
"649_611000000133",4
"649_711000000133",5
"649_811000000133",8
"649_131000000133",23
"649_231000000133",12
"649_331000000133",0
"649_431000000133",10
"650_401000000131",30
"650_501000000131",11
"650_111000000133",53
"650_211000000133",44
"650_311000000133",4
"650_411000000133",1
"650_511000000133",3
"650_611000000133",4
"650_711000000133",8
"650_811000000133",6
"655_401000000132",30
"655_501000000131",20
"655_111000000131",3
"655_211000000131",3
"655_311000000133",5
"655_411000000133",7
"655_511000000133",5
"655_611000000133",2
"655_711000000133",46
"655_811000000133",40
"656_131000000133",90
"656_231000000133",16
"656_331000000133",22
